STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,UNIT_MEASURE,Unit of measure,MEASURE,Measure,FREQ,Frequency,SEX,Sex,ACTIVITY,Economic activity (NACE Rev.2),ADJUSTMENT,Adjustment,RESIDENCE,Place of residence,TIME_PERIOD,Time period,OBS_VALUE,Observation value,UNIT_MULT,Unit multiplier,OBS_STATUS,Observation status,DECIMALS,Decimals,COMMENT_TS_NACE,Comments on the time series NACE
DATAFLOW,LU1:DSD_EMPLOI_SAL@DF_B3000(1.0),Domestic payroll employment by economic activity,I,PERS,Persons,SAL_INT,Domestic payroll employment,Q,Quarterly,_Z,Not applicable,_T,Total - all NACE activities,N,Neither seasonally adjusted nor calendar adjusted data,_Z,Not applicable,2006-Q4,,303588,,0,Units,,,0,Zero,,
DATAFLOW,LU1:DSD_EMPLOI_SAL@DF_B3000(1.0),Domestic payroll employment by economic activity,I,PERS,Persons,SAL_INT,Domestic payroll employment,Q,Quarterly,_Z,Not applicable,_T,Total - all NACE activities,N,Neither seasonally adjusted nor calendar adjusted data,_Z,Not applicable,2007-Q1,,306240,,0,Units,,,0,Zero,,
DATAFLOW,LU1:DSD_EMPLOI_SAL@DF_B3000(1.0),Domestic payroll employment by economic activity,I,PERS,Persons,SAL_INT,Domestic payroll employment,Q,Quarterly,_Z,Not applicable,_T,Total - all NACE activities,N,Neither seasonally adjusted nor calendar adjusted data,_Z,Not applicable,2007-Q2,,311371,,0,Units,,,0,Zero,,
DATAFLOW,LU1:DSD_EMPLOI_SAL@DF_B3000(1.0),Domestic payroll employment by economic activity,I,PERS,Persons,SAL_INT,Domestic payroll employment,Q,Quarterly,_Z,Not applicable,_T,Total - all NACE activities,N,Neither seasonally adjusted nor calendar adjusted data,_Z,Not applicable,2007-Q3,,314128,,0,Units,,,0,Zero,,
DATAFLOW,LU1:DSD_EMPLOI_SAL@DF_B3000(1.0),Domestic payroll employment by economic activity,I,PERS,Persons,SAL_INT,Domestic payroll employment,Q,Quarterly,_Z,Not applicable,_T,Total - all NACE activities,N,Neither seasonally adjusted nor calendar adjusted data,_Z,Not applicable,2007-Q4,,318668,,0,Units,,,0,Zero,,
DATAFLOW,LU1:DSD_EMPLOI_SAL@DF_B3000(1.0),Domestic payroll employment by economic activity,I,PERS,Persons,SAL_INT,Domestic payroll employment,Q,Quarterly,_Z,Not applicable,_T,Total - all NACE activities,N,Neither seasonally adjusted nor calendar adjusted data,_Z,Not applicable,2008-Q1,,322555,,0,Units,,,0,Zero,,
DATAFLOW,LU1:DSD_EMPLOI_SAL@DF_B3000(1.0),Domestic payroll employment by economic activity,I,PERS,Persons,SAL_INT,Domestic payroll employment,Q,Quarterly,_Z,Not applicable,_T,Total - all NACE activities,N,Neither seasonally adjusted nor calendar adjusted data,_Z,Not applicable,2008-Q2,,327153,,0,Units,,,0,Zero,,
DATAFLOW,LU1:DSD_EMPLOI_SAL@DF_B3000(1.0),Domestic payroll employment by economic activity,I,PERS,Persons,SAL_INT,Domestic payroll employment,Q,Quarterly,_Z,Not applicable,_T,Total - all NACE activities,N,Neither seasonally adjusted nor calendar adjusted data,_Z,Not applicable,2008-Q3,,329678,,0,Units,,,0,Zero,,
DATAFLOW,LU1:DSD_EMPLOI_SAL@DF_B3000(1.0),Domestic payroll employment by economic activity,I,PERS,Persons,SAL_INT,Domestic payroll employment,Q,Quarterly,_Z,Not applicable,_T,Total - all NACE activities,N,Neither seasonally adjusted nor calendar adjusted data,_Z,Not applicable,2008-Q4,,331820,,0,Units,,,0,Zero,,
DATAFLOW,LU1:DSD_EMPLOI_SAL@DF_B3000(1.0),Domestic payroll employment by economic activity,I,PERS,Persons,SAL_INT,Domestic payroll employment,Q,Quarterly,_Z,Not applicable,_T,Total - all NACE activities,N,Neither seasonally adjusted nor calendar adjusted data,_Z,Not applicable,2009-Q1,,330210,,0,Units,,,0,Zero,,
DATAFLOW,LU1:DSD_EMPLOI_SAL@DF_B3000(1.0),Domestic payroll employment by economic activity,I,PERS,Persons,SAL_INT,Domestic payroll employment,Q,Quarterly,_Z,Not applicable,_T,Total - all NACE activities,N,Neither seasonally adjusted nor calendar adjusted data,_Z,Not applicable,2009-Q2,,331035,,0,Units,,,0,Zero,,
DATAFLOW,LU1:DSD_EMPLOI_SAL@DF_B3000(1.0),Domestic payroll employment by economic activity,I,PERS,Persons,SAL_INT,Domestic payroll employment,Q,Quarterly,_Z,Not applicable,_T,Total - all NACE activities,N,Neither seasonally adjusted nor calendar adjusted data,_Z,Not applicable,2009-Q3,,330172,,0,Units,,,0,Zero,,
DATAFLOW,LU1:DSD_EMPLOI_SAL@DF_B3000(1.0),Domestic payroll employment by economic activity,I,PERS,Persons,SAL_INT,Domestic payroll employment,Q,Quarterly,_Z,Not applicable,_T,Total - all NACE activities,N,Neither seasonally adjusted nor calendar adjusted data,_Z,Not applicable,2009-Q4,,332255,,0,Units,,,0,Zero,,
DATAFLOW,LU1:DSD_EMPLOI_SAL@DF_B3000(1.0),Domestic payroll employment by economic activity,I,PERS,Persons,SAL_INT,Domestic payroll employment,Q,Quarterly,_Z,Not applicable,_T,Total - all NACE activities,N,Neither seasonally adjusted nor calendar adjusted data,_Z,Not applicable,2010-Q1,,333107,,0,Units,,,0,Zero,,
DATAFLOW,LU1:DSD_EMPLOI_SAL@DF_B3000(1.0),Domestic payroll employment by economic activity,I,PERS,Persons,SAL_INT,Domestic payroll employment,Q,Quarterly,_Z,Not applicable,_T,Total - all NACE activities,N,Neither seasonally adjusted nor calendar adjusted data,_Z,Not applicable,2010-Q2,,336961,,0,Units,,,0,Zero,,
